UserLoation;UserCountry;UserName;text
Daphne, AL;US;rmertel;\"@MrTommyCampbell @Rain7777 Don't forget his lovely hairdo. Have you noticed he's letting it go grey. Seeing more sk https://t.co/nmxjsix3ib\"
Miami, Florida;US;larimartinez;'No one watches @morningmika or listens 2 her anti-American Radical Left insults of @POTUS. She &amp\; her Joe R #FakeNews! @realDonaldTrump'
Fort Gibson, Oklahoma;US;tstyles77;\"Know what else doesn't help? Republican health care. https://t.co/x9AnhX19Kp\"
indianapolis, IN ;US;Guido227;\"@realDonaldTrump @geekiestwoman there you go, stick to business, that's what us voters are worried about. Not what https://t.co/q56hWMDsAv\"
Watsonville, CA;US;MichelleDeerin3;\"@realDonaldTrump you should be impeached.I can't wait to see you go to jail for construction of justice, conflict of interest,being a perv\"
San Francisco Bay Area;US;gstowers835;'@realDonaldTrump Check these out, a real leader and she won the popular vote! https://t.co/2AWbWXM5jU'
Long Beach, CA, USA;US;DGinLBC;'@realDonaldTrump you have money, but you have no class. You have power, but no wisdom. You are the President. Start acting like it.'
CALIFORNIA:REPUBLIC;US;REALMATHEW;\".@realDonaldTrump  Claims @MSNBC  Anchor #MikaBrzezinski 'Bleeding Badly from #Face-Lift'\\nhttps://t.co/MwoQ3DMPXd https://t.co/iPIIjD3unm\"
ORION SPUR IN THE MILKY WAY;US;chuckbigbang;'@FoxNews @realDonaldTrump Everybody else can #attack Trump, but if #Trump tries it he is admonished, even by his own people\; totally unfair!'
The Hague,  NL;NL;ge_sar;\"@realDonaldTrump proves that the @FukuyamaFrancis theory on 'The End of History' was indeed scientific in nature, by falsifying it.\"
Daly City, CA;US;geoyui;'@SarahHuckabee @POTUS @realDonaldTrump step outside your bully, spoiled child, entertainer, dictator persona. We ne https://t.co/kfv1V4qacG'
Italia;IT;lttnz;'Say @jack, when will you ban @realDonaldTrump from @Twitter? His insults to women dont match his status as @potus. '
Salem, Oregon;US;BryanPhilips3;'@FoxNews @LindseyGrahamSC @realDonaldTrump @Morning_Joe Lindsey = Looser'
Northern Virginia;US;HedgesLaker;\"@realDonaldTrump Guess Donald Trump knows a thing or two about face-lifts. He's financed many https://t.co/iAf3kRJY3Y\"
Georgia;US;vt_hokie68;\"@realDonaldTrump @mike_pence @Reince Focus on why HC costs are so high. It's not insur premiums/deductibles.It's hospitals, drugs, devices.\"
Tilburg;NL;GodelieveTT;\"@danrolle @Twitter @jack @realDonaldTrump @danrolle @Twitter \\nWhy isn't @realDonaldTrump kicked off Twitter after h https://t.co/vflxJRXOV9\"
CA, IL, NY, FL, HK, UAE;US;SyndicatedTalk;\"No one voted for the @WSJ to decide who/what @POTUS does or doesn't do @realDonaldTrump voted into office by consti https://t.co/6UcAv5gYLN\"
Urbandale, IA;US;tamiurbandale;\"@realDonaldTrump @Morning_Joe He don't like what they have to say turn the channel.  How about getting to work inst https://t.co/Exf51HivS9\"
Suisun City, CA;US;gmlgraham;'@WhiteHouse @realDonaldTrump FAKE NEWS FROM @GOP!! https://t.co/6mrQ7xtr5H'
citizen of the world;ES;martifono6;'.@RegSprecher could stop @realdonaldtrumps attack on our planet - sign &amp\; share the open letter to her now! https://t.co/VHE1vZHBBC'
Arlington, VA;US;LucyAppa;'@DimosWorld @portersure @PaulaHardin19 @Meltonwax @jllgraham @immigrant4trump @realDonaldTrump @Societal_Impact Huc https://t.co/0pogk0bcBQ'
Chester, NJ;US;Kathleenmazza2;'@Impeach_D_Trump @realDonaldTrump Two deranged ppl speaking daily about our Ptezident and time for them to move on.'
Washington, DC;US;DorienPaul;'.@RealDonaldTrump is pushing #EnergyDominance, but siding with polluters over people is pushing us backwards. https://t.co/N19kb8c04C'
Florida, USA;US;GWinfl55;\"@FoxNews @LindseyGrahamSC @realDonaldTrump @Morning_Joe Criticizing this tweet won't change Donald Trump. It defini https://t.co/uV6MCi3wCB\"
philadelphia, pa;US;il_moniker;'Haha haha haha. Well, since he asked how is that going @FLOTUS feel free to help her @realDonaldTrump https://t.co/Qa8LU1gtEC'
ATL, NYC, LA ;US;ItsMeJamieMiles;'@realDonaldTrump just more locker room talk right?  You are TRASH.   Absolutely disgusting individual with the soul https://t.co/TUHc5E2f3x'
Yakima, WA;US;Tripel_Hopped;'@realDonaldTrump @Morning_Joe Donnie, you are an overgrown child with hands, a heart, and a brain much smaller than https://t.co/fYFXaq22LL'
Harrisburg, PA;US;Koons17112;\"Just when @realDonaldTrump can't insult women even more, he does. He is a fake President. He is a bully. He is not a Christian. Resign! \"
Dallas, TX;US;its_YEMII;'Tell him Sir https://t.co/3GMvuQYafO'
Missouri, USA;US;MaryBolling77;'@realDonaldTrump @POTUS This is NOT about GENDER, Mika has been extremely HATEFUL in her words to our PRESIDENT, YOU deserve to fight back!!'
LIC, NY;US;nylgk;\"@realDonaldTrump is proof that all the money in the world can't buy you any class. Ugh. I feel like showering. https://t.co/Wi086qmrYL\"
Rio Rancho, NM;US;nani51763;'Yes @realDonaldTrump you are the WORST Representation of America #americanembarrASSment #BIGFATMANBABY https://t.co/wfXAbw0xGV'
Miami, Fl;US;ElectrikOne;'Every intelligence agency has confirmed that #Russia interfered/hacked our elections, and @realDonaldTrump is about to reward them? WTF?!?'
north jersey;US;RILESSER;'I would say that the tweets by @realDonaldTrump to @morningmika  are beneath the dignity of the office BUT he keeps https://t.co/6uFSlDBh12'
Windsor, Ontario;CA;LUsakov;'@realDonaldTrump @Morning_Joe This is how you waste your time Mr. Trump, the fate of the USA is crumbling and your https://t.co/PZMPQNuhox'
Nashville & Los Angeles;US;chrisgtaylor;'@realDonaldTrump you are such a bully!'
Brooklyn, NY USA;US;Brooklynwatch;'@VFHIVE @realDonaldTrump @MarieBrenner I love Vanity Fair.'
Minneapolis/St. Paul;US;michaelgodell;'@realDonaldTrump Seriously dude. What the fuck is wrong with you!?'
New York;US;SantosDen;\"@RepEliotEngel what does my rep have to say about @realDonaldTrump tweet this morning. What's your thought on that?\"
Los Angeles;US;danolivo;'@realDonaldTrump #ImpeachTrump'
Los Angeles, CA;US;prem_rajgopal;\"@FoxNews @LindseyGrahamSC @realDonaldTrump @Morning_Joe Save the brand while you still can @LindseyGrahamSC. It's t https://t.co/EaQjvCgV3m\"
Boogie Down Bronx ;US;kirkacevedo;\"Why doesn't Someone say 2 the @realDonaldTrump\\nYou are the @POTUS\\nStop being a 71 year old man baby!\\n-AnaNavarro\\nHy https://t.co/Yjt21uVwmF\"
